animal_id,outcome_time,date_of_birth,outcome_gender,outcome_age,animal_stay,intake_time,found_location,intake_type,intake_condition,animal_type,intake_gender,intake_age,breed,color,stay_duration,spay_neuter,repeat
A740022,2016-12-15,2015-07-10,Spayed Female,12.0,A740022-2,2016-12-14,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,12.0,Maltese Mix,White,1,0,1
A740022,2016-12-18,2015-07-10,Spayed Female,12.0,A740022-3,2016-12-18,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,12.0,Maltese Mix,White,0,0,1
A740050,2016-12-11,2014-12-10,Intact Male,24.0,A740050-1,2016-12-10,909 Yabers Ct in Austin (TX),Stray,Normal,Cat,Intact Male,24.0,Domestic Shorthair Mix,Orange Tabby,1,0,1
A740053,2016-12-11,2015-12-10,Intact Male,12.0,A740053-1,2016-12-10,1198 Spur St in Austin (TX),Stray,Normal,Cat,Intact Male,12.0,Domestic Shorthair Mix,Cream Tabby,1,0,1
A740053,2017-01-18,2015-12-10,Neutered Male,12.0,A740053-2,2017-01-13,1128 Spur St in Austin (TX),Stray,Injured,Cat,Neutered Male,12.0,Domestic Shorthair Mix,Cream Tabby,5,0,1
A740064,2017-01-14,2011-12-10,Spayed Female,60.0,A740064-1,2016-12-10,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,60.0,Domestic Longhair Mix,Calico,35,0,1
A740229,2016-12-24,2004-12-13,Neutered Male,144.0,A740229-1,2016-12-13,Austin (TX),Owner Surrender,Aged,Dog,Neutered Male,144.0,Beagle Mix,Sable/White,11,0,1
A740229,2017-02-08,2004-12-13,Neutered Male,144.0,A740229-2,2017-01-21,Travis (TX),Owner Surrender,Normal,Dog,Neutered Male,144.0,Beagle Mix,Sable/White,18,0,1
A740238,2016-12-13,2015-12-13,Spayed Female,12.0,A740238-1,2016-12-13,100 W Carrie Manor St in Travis (TX),Stray,Normal,Dog,Spayed Female,12.0,Australian Shepherd Mix,Brown/White,0,0,1
A740238,2017-04-14,2015-12-13,Spayed Female,12.0,A740238-2,2017-04-14,10507 Us Highway 290 East in Manor (TX),Stray,Normal,Dog,Spayed Female,12.0,Australian Shepherd Mix,Brown/White,0,0,1
A740275,2016-12-15,2015-12-14,Intact Female,12.0,A740275-1,2016-12-14,969 @ Hunters Bend in Austin (TX),Stray,Normal,Dog,Intact Female,12.0,Chihuahua Shorthair Mix,Brown/Black,1,0,1
A740275,2017-05-06,2015-12-14,Intact Female,12.0,A740275-2,2017-05-05,Parish And Hunters Bend in Austin (TX),Stray,Normal,Dog,Intact Female,12.0,Chihuahua Shorthair Mix,Brown/Black,1,0,1
A740282,2016-12-16,2013-12-16,Intact Male,36.0,A740282-1,2016-12-14,Pearce Ln And Linden Rd in Del Valle (TX),Stray,Normal,Dog,Intact Male,24.0,Pit Bull Mix,Brown Brindle/White,2,0,1
A740306,2017-02-10,2015-12-14,Neutered Male,12.0,A740306-1,2016-12-14,El Mirando St And Thrasher Ln in Austin (TX),Stray,Normal,Dog,Intact Male,12.0,Pit Bull Mix,Blue/White,58,1,1
A740306,2017-06-23,2015-12-14,Neutered Male,12.0,A740306-2,2017-06-22,2100 Barton Springs in Austin (TX),Stray,Normal,Dog,Neutered Male,12.0,Pit Bull Mix,Blue/White,1,0,1
A740306,2017-07-30,2015-12-14,Neutered Male,12.0,A740306-3,2017-07-22,2115 Ann Arbor Avenue in Austin (TX),Stray,Normal,Dog,Neutered Male,12.0,Pit Bull Mix,Blue/White,8,0,1
A740335,2017-01-29,2011-12-15,Spayed Female,60.0,A740335-1,2016-12-15,Sneed Cove And Nelms Dr in Austin (TX),Stray,Normal,Dog,Spayed Female,60.0,Labrador Retriever,Black/White,45,0,1
A740335,2017-05-10,2011-12-15,Spayed Female,60.0,A740335-2,2017-04-26,Pflugerville (TX),Owner Surrender,Normal,Dog,Spayed Female,60.0,Labrador Retriever,Black/White,14,0,1
A740335,2018-03-17,2011-12-15,Spayed Female,72.0,A740335-3,2017-05-14,13212 Lipton Loop in Del Valle (TX),Owner Surrender,Normal,Dog,Spayed Female,60.0,Labrador Retriever,Black/White,307,0,1
A740353,2017-01-26,2013-12-15,Neutered Male,36.0,A740353-1,2016-12-15,8601 Cureton Cv in Austin (TX),Public Assist,Normal,Dog,Intact Male,36.0,Chow Chow Mix,Red,42,1,1
A740353,2021-01-27,2013-12-15,Neutered Male,84.0,A740353-2,2020-11-15,4527 Creek Bend Drive in Austin (TX),Public Assist,Normal,Dog,Neutered Male,72.0,Chow Chow Mix,Red,73,0,1
A740382,2017-01-06,2016-11-07,Neutered Male,1.0,A740382-1,2016-12-16,10802 San Jose Ave in Travis (TX),Stray,Normal,Dog,Intact Male,1.0,Australian Cattle Dog Mix,Black/White,21,1,1
A740413,2016-12-19,2012-03-27,Intact Male,48.0,A740413-1,2016-12-16,12221 Scribe Dr in Austin (TX),Stray,Normal,Dog,Intact Male,48.0,Labrador Retriever Mix,Chocolate/White,3,0,1
A740428,2016-12-24,2016-05-17,Neutered Male,7.0,A740428-1,2016-12-17,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,7.0,Domestic Shorthair Mix,Black/Black,7,1,1
A740428,2017-01-15,2016-05-17,Neutered Male,7.0,A740428-2,2017-01-11,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,7.0,Domestic Shorthair Mix,Black/Black,4,0,1
A740429,2016-12-24,2016-05-17,Neutered Male,7.0,A740429-1,2016-12-17,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,7.0,Domestic Shorthair Mix,Black/Black,7,1,1
A740429,2017-01-13,2016-05-17,Neutered Male,7.0,A740429-2,2017-01-11,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,7.0,Domestic Shorthair Mix,Black/Black,2,0,1
